ami_,failure_scenarios,description,relevant_vulnerabilities,impacts,potential_mitigations,nist_csf_subcategory,domain,source_file,scenario_raw,scenario_id,csf_subcategory,nist_function,der_,dgm_
6.0,One Compromised Meter in a Mesh Wireless Network Blocks Others,"An unauthorized entity installs rogue firmware or software on a single smart meter. This might be via direct access to the meter or via interception/modification
of a legitimate meter update. The compromised meter software could report an understatement of usage, or cause sporadic failure of the self-test process to impede discovery. If meters in the system implement a mesh wireless network, the compromised meter might misroute communications from other meters, blocking the path back to the AMI headend for those meters and making those meters effectively “unresponsive.”",V6A) System relies on credentials that are easy to obtain for access for privileges to install firmware or software on a smart meter,"I6A) Continuous loss of revenue for utility if modified software/firmware understates
usage (impact scales as more meters are affected)","M6A) Detect unusual patterns of energy usage on smart meters (all utilities have some type of revenue protection scheme, but these may not be sufficient)","DE.AE-5: Incident alert thresholds are established
DE.AE-1: A baseline of network operations and expected data flows for users and systems is established and managed
DE.CM-1: The network is monitored to detect potential cybersecurity events
",AMI,ami.csv,,46,"DE.AE-5: Incident alert thresholds are established
DE.AE-1: A baseline of network operations and expected data flows for users and systems is established and managed
DE.CM-1: The network is monitored to detect potential cybersecurity events
",DE,,
,,,"V6B) System permits unauthorized installation of software or firmware* on a smart
meter.","I6B) CTruck rolls needed to investigate compromised meter failure or nonresponsive
meters due to misrouting",M6B) Require multi-factor authentication for firmware or software updates,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)



",AMI,ami.csv,,47,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)



",PR,,
,,,,,M6C) Use Role-Based Access Control to limit privileges to install software,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",AMI,ami.csv,,48,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",PR,,
,,,,,M6D) Check software file integrity (digital signatures or keyed hashes) to validate software or firmware updates before installation and/or during operation,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity",AMI,ami.csv,,49,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity",PR,,
7.0,Deployed Meters Containing Undesirable Functionality Need Repair,"Undesirable capabilities and features are discovered in smart meters deployed by a utility. This discovery may happen as the result of focused security research or because the utility discovers it has deployed a product containing the same compromised chipset used in a common consumer product. For example, an additional communications channel could be available on the meter, which, if activated, permits offloading of personally identifiable information (PII) or interferes with the functioning of the devices. The compromised smart meters will need to be upgraded or replaced","V7A) Physical access may be obtained by unauthorized individuals via the smart meter
interfaces which can permit modifying device functionality",I7A) Cost to upgrade or potentially replace meters,"M7A) Conduct penetration testing of devices which includes security analysis of all device interfaces, regardless of their respective impact on meter functionality (such as labeling and internal Joint Test Action Group (JTAG) interfaces)",ID.RA-1: Asset vulnerabilities are identified and documented,AMI,ami.csv,,50,ID.RA-1: Asset vulnerabilities are identified and documented,ID,,
,,,V7B) Presence of features or functions that may be misused by users in a manner not intended by the designers of the smart meter,"I7B) If violations of consumer privacy are proven, the utility may be subject to legal actions",M7B) Require secure remote firmware upgrade on the meter,"PR.MA-2: Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access
PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity",AMI,ami.csv,,51,"PR.MA-2: Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access
PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity",PR,,
,,,,"I7C) If meters go “dead” or misstate usage, the utility would lose revenue from impacted customers until the meters are fixed or replaced",M7C) Require secure boot loader,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity",AMI,ami.csv,,52,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity",PR,,
,,,,,M7D) Generate alarms for unusual or unexpected meter operations,"DE.AE-5: Incident alert thresholds are established
DE.CM-1: The network is monitored to detect potential cybersecurity events",AMI,ami.csv,,53,"DE.AE-5: Incident alert thresholds are established
DE.CM-1: The network is monitored to detect potential cybersecurity events",DE,,
,,,,,M7E) Detect abnormal functionality to identify network ports and services in use and generate alerts,"DE.AE-1: A baseline of network operations and expected data flows for users and systems is established and managed
DE.CM-1: The network is monitored to detect potential cybersecurity events
DE.AE-5: Incident alert thresholds are established

",AMI,ami.csv,,54,"DE.AE-1: A baseline of network operations and expected data flows for users and systems is established and managed
DE.CM-1: The network is monitored to detect potential cybersecurity events
DE.AE-5: Incident alert thresholds are established

",DE,,
,,,,,M7F) Cross check network ports and services against intended applications,"PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality)
PR.AC-5: Network integrity is protected (e.g., network segregation, network segmentation)",AMI,ami.csv,,55,"PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality)
PR.AC-5: Network integrity is protected (e.g., network segregation, network segmentation)",PR,,
,,,,,M7G) Generate alerts for unapproved traffic,DE.AE-5: Incident alert thresholds are established,AMI,ami.csv,,56,DE.AE-5: Incident alert thresholds are established,DE,,
8.0,False Meter Alarms Overwhelm AMI and Mask Real Alarms,"Either due to spoofed tamper alarms or design/implementation problems with the legitimate alarm capability, false meter alarms overwhelm the AMI system and/or cause real meter alarms to be disabled or ignored",V8A) Alarm management system does not support required processing for legitimate alarm conditions* in the AMI system,I8A) Disabling or ignoring of alarms leads to loss of metering tamper awareness and increases the impact of those failure scenarios in which meter tampering occurs,"M8A) Prioritize alarms by type, location, and other criteria so that high-profile alarms
can be distinguished and highlighted","DE.AE-5: Incident alert thresholds are established
ID.AM-5: Resources (e.g., hardware, devices, data, time, personnel, and software) are prioritized based on their classification, criticality, and business value
",AMI,ami.csv,,57,"DE.AE-5: Incident alert thresholds are established
ID.AM-5: Resources (e.g., hardware, devices, data, time, personnel, and software) are prioritized based on their classification, criticality, and business value
",DE,,
,,,V8B) Alarm processing capability is overwhelmed by unnecessary alarms in the alarm management component of the AMI system,,M8B) Authenticate messages for receipt of tamper alarms,"PR.DS-2: Data-in-transit is protected
PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity",AMI,ami.csv,,58,"PR.DS-2: Data-in-transit is protected
PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity",PR,,
,,,V8C) Inadequate criteria for determining which alarms deserve priority in the alarm management component of the AMI system,,M8C) Encrypt communication paths for receipt of tamper alarms,"PR.PT-4: Communications and control networks are protected
PR.DS-2: Data-in-transit is protected",AMI,ami.csv,,59,"PR.PT-4: Communications and control networks are protected
PR.DS-2: Data-in-transit is protected",PR,,
,,,,,M8D) Protect against replay involving receipt of tamper alarms,"DE.CM-7: Monitoring for unauthorized personnel, connections, devices, and software is performed
DE.DP-2: Detection activities comply with all applicable requirements",AMI,ami.csv,,60,"DE.CM-7: Monitoring for unauthorized personnel, connections, devices, and software is performed
DE.DP-2: Detection activities comply with all applicable requirements",DE,,
,,,,,M8E) Cross check that tamper alarm is for a real meter,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity",AMI,ami.csv,,61,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity",PR,,
,,,,,M8F) Perform hardware acceptance testing including tamper alarms,PR.DS-8: Integrity checking mechanisms are used to verify hardware integrity,AMI,ami.csv,,62,PR.DS-8: Integrity checking mechanisms are used to verify hardware integrity,PR,,
,,,,,M8G) Analyze anomalous events that trigger alarms in order to aggregate alarms for reporting,"DE.AE-3: Event data are collected and correlated from multiple sources and sensors
",AMI,ami.csv,,63,"DE.AE-3: Event data are collected and correlated from multiple sources and sensors
",DE,,
,,,,,M8H) Cross check outage alerts with existing technology such as the customer service systems.,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity
DE.AE-3: Event data are collected and correlated from multiple sources and sensors",AMI,ami.csv,,64,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity
DE.AE-3: Event data are collected and correlated from multiple sources and sensors",PR,,
9.0,Invalid Disconnect Messages to Meters Impact Customers and Utility,"A threat agent obtains legitimate credentials to the AMI system via social engineering. The threat agent may already have access to the network on which this system resides or may succeed in reaching the network from another network. The threat agent issues a disconnect command for one or more target meters. Alternatively, a disconnect may be placed in a schedule and then occur automatically at a later time",V9A) System relies on credentials that are easy to obtain for access (via social engineering) in the AMI system,I9A) Customers experience power outages,M9A) Detect unusual patterns of disconnects on smart meters,"DE.AE-5: Incident alert thresholds are established
DE.CM-1: The network is monitored to detect potential cybersecurity events


",AMI,ami.csv,,65,"DE.AE-5: Incident alert thresholds are established
DE.CM-1: The network is monitored to detect potential cybersecurity events


",DE,,
,,,V9B) Workforce may be unaware of recommended precautions to prevent social engineering attacks,I9B) Utility may need to roll a truck to identify the problem,M9B) Re-evaluate scheduled disconnects,"PR.MA-1: Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools
PR.MA-2: Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access",AMI,ami.csv,,66,"PR.MA-1: Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools
PR.MA-2: Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access",PR,,
,,,V9C) System relies on credentials that are easy to obtain for access to a meter disconnect command (single-factor authentication),I9C) Utility loses revenue (scales based on number of meters affected),M9C) Define policy for mass meter disconnect,"ID.GV-1: Organizational cybersecurity policy is established and communicated
PR.IP-5: Policy and regulations regarding the physical operating environment for organizational assets are met",AMI,ami.csv,,67,"ID.GV-1: Organizational cybersecurity policy is established and communicated
PR.IP-5: Policy and regulations regarding the physical operating environment for organizational assets are met",ID,,
,,,V9D) Network interconnections provide users and hardware/software entities with access unnecessary for their roles from remote networks to network containing the AMI system,I9D) Threat agent may use power outage to mask criminal activity at customer sites,M9D) Define procedures for mass meter disconnect,"ID.GV-1: Organizational cybersecurity policy is established and communicated
PR.IP-5: Policy and regulations regarding the physical operating environment for organizational assets are met",AMI,ami.csv,,68,"ID.GV-1: Organizational cybersecurity policy is established and communicated
PR.IP-5: Policy and regulations regarding the physical operating environment for organizational assets are met",ID,,
,,,,,M9E) Require multi-factor authentication for mass meter disconnect,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",AMI,ami.csv,,69,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",PR,,
